ID,ReciprocalFriend
2384071,28049003
2384071,33039483
2384071,304587968
2384071,236485849
2384071,1339518313
28049003,2596143056
28049003,1480749782
33039483,17995040
33039483,33041426
33039483,41814169
33039483,8.75029068223316E+017
33039483,2835276183
304587968,2384071
304587968,5943622
304587968,165944767
304587968,19383099
304587968,42336153
236485849,14763734
236485849,190906140
236485849,2461810448
236485849,246939630
236485849,32780218
1339518313,19691332
1339518313,53560219
1339518313,18419094
1339518313,125695429
1339518313,1237502864
2596143056,2573480784
2596143056,2729061
2596143056,769641584
2596143056,65937068
2596143056,22485748
1480749782,90573676
1480749782,28049003
1480749782,2451476942
1480749782,44317593
1480749782,1552045182
2835276183,1.16021125015379E+018
2384071,28049003
2384071,33039483
2384071,304587968
2384071,236485849
2384071,1339518313
5943622,242087100
5943622,21784951
5943622,376180305
5943622,54731136
5943622,126416038
165944767,197496309
165944767,15331408
165944767,9.16209273205608E+017
19383099,42501345
19383099,34485937
19383099,110447431
19383099,1319682974
19383099,1.09977746574296E+018
42336153,20109973
42336153,30699754
42336153,148653311
42336153,314690118
42336153,4726207589
14763734,33008902
14763734,280082252
14763734,490792210
14763734,7.65528370406756E+017
14763734,465471932
190906140,293850289
190906140,18028249
190906140,111390142
190906140,28571218
190906140,266179694
2461810448,9.26763245242913E+017
2461810448,258557227
2461810448,28180659
2461810448,14625885
2461810448,578129699
246939630,351100725
246939630,1173831
246939630,2400284491
246939630,21111896
246939630,80977873
32780218,167781199
32780218,1686797810
19691332,344686533
19691332,1633058688
19691332,15466386
19691332,4818214831
19691332,184573834
53560219,140137815
53560219,304880098
53560219,813402
53560219,1.1082281742933E+018
53560219,1482468246
18419094,5676102
18419094,103451046
18419094,7097602
18419094,160268128
18419094,1.06677327077355E+018
125695429,235261861
125695429,26616462
125695429,8.65339383200702E+017
125695429,36956198
125695429,9.74716085328105E+017
1237502864,2613859267
1237502864,17242168
1237502864,2350618921
1237502864,3288425003
1237502864,19685572
2573480784,244655353
2573480784,2596143056
2573480784,14642495
2573480784,148653311
2729061,2596143056
2729061,5880462
2729061,15624805
2729061,198967539
2729061,885361
